[Sun Aug  3 21:56:23 2025] ALLOC: Addr=000002A56270B3F0 | Size=100 | malloc
[Sun Aug  3 21:56:23 2025] ALLOC: Addr=000002A562711950 | Size=40 | calloc
[Sun Aug  3 21:56:23 2025] FREE: Addr=000002A562711950 | Size=0 | realloc old
[Sun Aug  3 21:56:23 2025] ALLOC: Addr=000002A56270F9B0 | Size=80 | realloc new
[Sun Aug  3 21:56:23 2025] FREE: Addr=000002A56270B3F0 | Size=0 | ok
[Sun Aug  3 21:59:50 2025] ALLOC: Addr=000001DD9F4BB3F0 | Size=100 | malloc
[Sun Aug  3 21:59:50 2025] ALLOC: Addr=000001DD9F4C17A0 | Size=40 | calloc
[Sun Aug  3 21:59:50 2025] FREE: Addr=000001DD9F4C17A0 | Size=0 | realloc old
[Sun Aug  3 21:59:50 2025] ALLOC: Addr=000001DD9F4BFBF0 | Size=80 | realloc new
[Sun Aug  3 21:59:50 2025] FREE: Addr=000001DD9F4BB3F0 | Size=0 | ok
[Mon Aug  4 09:02:28 2025] ALLOC: Addr=00000195350B3C90 | Size=100 | malloc
[Mon Aug  4 09:02:28 2025] ALLOC: Addr=00000195350C16C0 | Size=40 | calloc
[Mon Aug  4 09:02:28 2025] FREE: Addr=00000195350C16C0 | Size=0 | realloc old
[Mon Aug  4 09:02:28 2025] ALLOC: Addr=00000195350C0080 | Size=80 | realloc new
[Mon Aug  4 09:02:28 2025] FREE: Addr=00000195350B3C90 | Size=0 | ok
[Mon Aug  4 09:15:06 2025] ALLOC: Addr=0000022580BD3C90 | Size=100 | malloc
[Mon Aug  4 09:15:06 2025] ALLOC: Addr=0000022580BE1600 | Size=40 | calloc
[Mon Aug  4 09:15:06 2025] FREE: Addr=0000022580BE1600 | Size=0 | realloc old
[Mon Aug  4 09:15:06 2025] ALLOC: Addr=0000022580BDFD80 | Size=80 | realloc new
[Mon Aug  4 09:15:06 2025] FREE: Addr=0000022580BD3C90 | Size=0 | ok
[Mon Aug  4 09:16:28 2025] ALLOC: Addr=000002B26DAE3C90 | Size=100 | malloc
[Mon Aug  4 09:16:28 2025] ALLOC: Addr=000002B26DAF11B0 | Size=40 | calloc
[Mon Aug  4 09:16:28 2025] FREE: Addr=000002B26DAF11B0 | Size=0 | realloc old
[Mon Aug  4 09:16:28 2025] ALLOC: Addr=000002B26DAEFF60 | Size=80 | realloc new
[Mon Aug  4 09:16:28 2025] FREE: Addr=000002B26DAE3C90 | Size=0 | ok
[Mon Aug  4 11:11:26 2025] ALLOC: Addr=0000021D358C3C90 | Size=100 | malloc
[Mon Aug  4 11:11:26 2025] ALLOC: Addr=0000021D358D1120 | Size=40 | calloc
[Mon Aug  4 11:11:26 2025] FREE: Addr=0000021D358D1120 | Size=0 | realloc old
[Mon Aug  4 11:11:26 2025] ALLOC: Addr=0000021D358CFF00 | Size=80 | realloc new
[Mon Aug  4 11:11:26 2025] FREE: Addr=0000021D358C3C90 | Size=0 | ok
[Mon Aug  4 11:13:05 2025] ALLOC: Addr=000002AE74413C90 | Size=100 | malloc
[Mon Aug  4 11:13:05 2025] ALLOC: Addr=000002AE74421420 | Size=40 | calloc
[Mon Aug  4 11:13:05 2025] FREE: Addr=000002AE74421420 | Size=0 | realloc old
[Mon Aug  4 11:13:05 2025] ALLOC: Addr=000002AE7441FCC0 | Size=80 | realloc new
[Mon Aug  4 11:13:05 2025] FREE: Addr=000002AE74413C90 | Size=0 | ok
[Mon Aug  4 11:13:14 2025] ALLOC: Addr=0000029C544AB820 | Size=100 | malloc
[Mon Aug  4 11:13:14 2025] ALLOC: Addr=0000029C544B1160 | Size=40 | calloc
[Mon Aug  4 11:13:14 2025] FREE: Addr=0000029C544B1160 | Size=0 | realloc old
[Mon Aug  4 11:13:14 2025] ALLOC: Addr=0000029C544B0600 | Size=80 | realloc new
[Mon Aug  4 11:13:14 2025] FREE: Addr=0000029C544AB820 | Size=0 | ok
[Mon Aug  4 11:13:54 2025] ALLOC: Addr=0000018070A23C90 | Size=100 | malloc
[Mon Aug  4 11:13:54 2025] ALLOC: Addr=0000018070A31750 | Size=40 | calloc
[Mon Aug  4 11:13:54 2025] FREE: Addr=0000018070A31750 | Size=0 | realloc old
[Mon Aug  4 11:13:54 2025] ALLOC: Addr=0000018070A2F960 | Size=80 | realloc new
[Mon Aug  4 11:13:54 2025] FREE: Addr=0000018070A23C90 | Size=0 | ok
[Mon Aug  4 11:14:55 2025] ALLOC: Addr=000001E9B0473C90 | Size=100 | malloc
[Mon Aug  4 11:14:55 2025] ALLOC: Addr=000001E9B0481450 | Size=40 | calloc
[Mon Aug  4 11:14:55 2025] FREE: Addr=000001E9B0481450 | Size=0 | realloc old
[Mon Aug  4 11:14:55 2025] ALLOC: Addr=000001E9B047FCC0 | Size=80 | realloc new
